timestamp,aX,aY,aZ,gX,gY,gZ
191,0.1873,-0.5626,0.9320,3.2349,-15.8691,-12.6953
192,0.1595,-0.5151,0.9656,-6.8359,-1.2817,23.8037
193,0.2932,-0.6870,0.9675,11.2915,6.5308,21.0571
194,0.2291,-0.6786,0.7205,-9.8267,14.2212,51.8799
195,0.0759,-0.7500,0.8765,-27.6489,-49.8657,81.9702
196,0.1459,-0.5707,0.6873,-20.9961,3.5400,93.0786
197,0.1809,-0.3173,0.7753,24.2310,19.1040,82.3975
198,0.3031,-0.0885,0.7878,42.3584,0.3662,54.8706
199,0.2823,-0.0603,0.9938,65.0024,-76.1719,50.7202
200,0.2456,-0.1110,1.3865,-6.2866,-49.6826,-24.2920
201,0.1028,0.1163,0.9412,-0.6104,17.8223,31.9214
202,-0.0498,0.3022,1.0411,-14.0991,32.8979,-6.5308
203,0.3220,0.0885,1.0009,-27.5879,-4.5776,-77.8198
204,0.3723,0.0612,0.9990,3.9673,2.6245,-9.1553
205,0.3333,0.0190,1.0886,7.2021,-6.7139,-12.3291
206,0.3328,-0.0325,0.9924,-5.9814,-9.7656,-0.9766
207,0.2732,-0.1469,0.9473,-38.6353,-45.8984,-32.3486
208,-0.1333,-0.1101,0.9464,-17.3950,-3.7842,-33.2031
209,-0.0878,-0.3687,0.8486,18.1274,46.9971,-54.9316
210,0.0120,-0.7560,0.7948,16.9678,29.4800,-57.8003
211,0.1511,-0.8777,0.7678,15.6860,-5.5542,-80.5054
212,0.1948,-0.7852,0.8566,26.2451,38.2690,-54.4434
213,0.3104,-0.6166,0.7610,8.5449,25.6958,-16.9678
214,0.2546,-0.6456,0.9214,-5.7373,-19.7754,-0.8545
215,0.1743,-0.6990,0.8052,-3.7231,2.0142,40.9546
216,0.0948,-0.9589,0.7950,-49.0112,4.5166,70.1294
217,0.0891,-0.8801,0.7915,-10.0098,-22.1558,65.7349
218,0.1215,-0.4332,0.6998,-3.0518,14.0991,105.2856
219,0.1567,-0.1716,0.7981,24.8413,-43.4570,64.0869
220,0.1693,0.0909,0.9310,28.8696,-42.4194,37.9639
221,0.0925,0.0973,1.3975,66.7725,-24.1699,-33.0200
222,0.0974,0.2808,1.0559,-25.0244,43.7622,25.7568
223,0.2206,0.1515,1.0415,-22.0337,-2.6855,-59.0210
224,0.4077,0.1272,1.0106,-13.9160,13.4888,3.4790
225,0.3372,0.2129,1.0696,-12.8784,15.8081,10.9863
226,0.5247,0.1246,1.0361,-22.9492,3.8452,10.0098
227,0.2430,0.0999,1.0616,-12.6343,-5.5542,-9.0942
228,0.1853,-0.0474,0.9546,0.7935,20.2637,-23.6206
