timestamp,aX,aY,aZ,gX,gY,gZ
176,-0.8832,-0.1816,0.1857,193.4814,-220.9473,-21.4233
177,-1.0145,-0.2103,0.1768,184.6313,-190.3687,5.8594
178,-1.2395,-0.1646,0.0392,94.8486,-79.4067,61.0962
179,-0.6417,-0.4490,-0.2217,98.1445,-75.8667,145.5688
180,-0.9659,-0.6550,-0.3391,62.3169,-38.3911,234.4360
181,-0.7385,-1.0316,0.0087,-11.1084,28.9917,277.8931
182,-0.4722,-1.1520,0.0419,-121.2769,97.2290,289.1846
183,-0.2634,-1.4740,0.3104,-261.9019,217.7124,241.9434
184,0.1149,-1.2086,0.5841,-174.0723,232.3608,171.1426
185,0.5104,-0.8973,0.5067,-210.9985,147.6440,129.0283
186,0.5781,-0.5227,0.4602,-173.5229,150.0854,98.9380
187,0.3585,-0.3308,0.0503,-116.3940,145.1416,18.9209
188,0.7972,-0.3619,0.0748,-92.7734,-182.0068,99.7925
189,0.8474,-0.0490,0.7144,-58.4717,-236.8164,173.7671
190,0.5050,0.2988,0.9078,-79.5288,-174.1943,157.8369
191,0.1405,0.5150,0.8068,-57.6172,-129.2725,118.0420
192,-0.0121,0.5411,0.7448,-82.7637,-142.4561,95.2148
193,-0.2294,0.5271,0.6506,-65.8569,-145.9961,71.4111
194,-0.4259,0.5582,0.5371,29.4189,-139.5264,7.7515
195,-0.5490,0.3949,0.6095,130.7983,-184.6313,-62.0728
196,-0.6971,0.2203,0.5730,217.7124,-185.9741,-73.9136
197,-0.7166,0.0109,0.6085,241.6992,-187.6221,-48.7671
198,-0.9194,-0.1141,0.3547,228.1494,-242.7368,-34.6680
199,-1.0508,-0.1090,0.3547,183.5327,-186.2793,10.0098
200,-0.7832,-0.3586,-0.0001,143.6157,-110.0464,109.4971
201,-0.9246,-0.4144,0.0002,93.5059,-97.4731,109.9854
202,-0.9800,-0.4601,-0.1754,91.0034,-67.1997,146.6675
203,-0.7806,-0.8693,-0.3456,70.4956,-42.5415,199.5850
204,-0.6484,-1.0636,-0.3940,29.9683,-1.9531,268.3105
205,-0.3274,-1.0789,-0.1449,-64.4531,33.3252,252.3804
206,0.1294,-1.2430,0.3605,-296.8750,141.8457,293.5791
207,0.3040,-1.3894,0.3188,-319.2749,267.2729,320.0073
208,0.5009,-0.9561,0.2477,-477.4780,46.7529,231.3843
209,0.5488,-0.0546,0.4882,-216.7358,-17.2729,139.7705
210,0.6218,0.0601,0.1910,-70.0073,-169.1284,91.6138
211,0.6927,0.3400,0.8148,-33.5693,-128.6621,114.7461
212,0.3567,0.5576,0.8607,-44.9829,-116.3940,106.8726
213,0.0898,0.6079,0.5973,-79.0405,-126.5259,162.9639
214,-0.2982,0.7035,0.5482,-75.8057,-105.5908,115.6616
215,-0.4617,0.5962,0.3879,-20.5078,-110.5957,67.0776
216,-0.5260,0.5107,0.1045,145.9961,-201.2329,-3.0518
217,-0.7124,0.1794,0.8086,292.7246,-232.4829,-92.1631
218,-0.7799,-0.1172,0.6267,321.6553,-233.5205,-62.1948
219,-1.0088,-0.2003,0.4762,307.3730,-240.6006,-12.0239
220,-1.0427,-0.2478,0.2281,215.3931,-180.7861,40.1611
221,-1.0923,-0.4290,0.0629,203.2471,-116.0889,172.8516
222,-0.7935,-0.4839,-0.0697,100.4028,-99.7925,114.9902
223,-0.9149,-0.7904,-0.4381,80.8105,-53.4668,261.9019
224,-0.3680,-1.1526,-0.2432,13.3057,-16.3574,272.7051
225,-0.2281,-1.1171,-0.2422,-87.4023,6.2256,252.3804
226,0.0128,-1.4138,-0.0707,-259.0332,135.3149,314.8804
227,0.2183,-1.2778,0.4850,-450.0122,108.3984,197.6318
228,0.4995,-0.8132,0.5150,-430.7251,-105.4688,159.0576
229,0.3857,-0.1226,0.9031,-342.7734,-57.4341,82.5806
230,0.2340,0.1797,0.4624,-171.1426,-25.5737,24.6582
231,0.5281,0.2623,0.4431,-66.2231,-41.9312,44.4336
232,0.4983,0.4850,0.7363,-6.5308,-25.8179,56.6406
233,0.2535,0.6365,0.7352,-22.6440,-67.4438,99.0601
234,-0.0918,0.7068,0.7307,-32.2266,-127.4414,127.9907
235,-0.2543,0.6252,0.5233,1.2207,-162.8418,73.0591
236,-0.4052,0.6140,0.3112,37.5366,-140.9302,44.3726
237,-0.5417,0.2322,0.7217,175.7202,-245.6055,-39.7339
238,-0.8705,-0.0452,0.5079,297.9736,-248.5352,-21.8506
239,-0.9456,-0.1461,0.3331,299.9878,-256.2256,-56.6406
240,-0.9960,-0.3143,0.1956,271.3623,-207.4585,42.4194
241,-0.9052,-0.2559,-0.0186,182.0068,-165.8325,67.5659
242,-0.9263,-0.2770,-0.1183,145.5078,-108.4595,141.0522
243,-1.0720,-0.7207,-0.2603,169.5557,-97.2900,262.4512
244,-0.6089,-0.8213,-0.4838,15.0146,-51.0254,174.2554
245,-0.4578,-0.9943,-0.3132,-47.7905,-6.4697,256.7749
246,-0.1915,-1.1846,0.0469,-213.3789,83.1299,278.6255
247,0.0481,-1.4196,0.3053,-327.1484,157.7148,243.1641
248,0.3486,-1.1619,0.4775,-364.7461,187.9883,179.8706
249,0.5353,-0.5707,0.8716,-337.4023,9.5215,145.7520
250,0.4929,-0.1205,0.5099,-202.6978,73.9136,39.6729
251,0.6106,-0.0605,0.4567,-96.6797,-97.5952,68.4204
252,0.8600,0.1240,0.6217,5.4932,-97.5342,52.9785
253,0.6809,0.3300,0.7045,-47.7295,-87.5854,125.7935
254,0.2860,0.5908,0.7994,-90.5151,-115.9668,199.8901
255,-0.0654,0.6876,0.7017,-99.4873,-108.8867,162.2925
256,-0.3914,0.6002,0.4099,-62.0117,-109.0698,119.9341
257,-0.4500,0.4836,0.4418,-9.9487,-120.7886,64.6973
258,-0.6870,0.4442,0.2578,170.6543,-227.7222,-27.2217
259,-0.6436,0.2090,0.5795,296.0205,-172.9736,-70.5566
260,-0.7125,-0.0715,0.4089,339.8437,-217.0410,-61.9507
261,-0.9739,-0.2733,0.4265,331.3599,-238.0371,-6.9580
262,-0.8462,-0.3987,0.1338,234.6191,-144.6533,92.9565
263,-0.8961,-0.4539,-0.0115,127.1362,-126.5869,88.9282
264,-1.0139,-0.5604,-0.1084,157.3486,-87.5854,151.3062
265,-0.7094,-0.8025,-0.3381,87.2192,-61.9507,166.6260
266,-0.5455,-0.9001,-0.4652,19.0430,-11.8408,208.4961
267,-0.2186,-1.1495,-0.2791,-82.8247,21.1182,233.0322
268,-0.1259,-1.1031,-0.0768,-148.9258,69.3970,219.8486
269,0.0928,-1.4127,0.2427,-254.2725,174.6826,239.1968
270,0.3961,-1.2312,0.5149,-378.1128,184.0820,239.0137
271,0.6245,-0.6649,0.5640,-308.3496,-8.4839,182.5562
272,0.7689,-0.2125,0.7124,-276.1841,-97.4731,155.1514
273,0.3640,0.2314,0.5031,-200.7446,-125.0000,191.2842
274,0.3108,0.4148,0.4091,-102.0508,-108.3984,99.6094
