gX,gY,gZ
1.3428,2.9907,-0.9766
6.8970,2.2583,-1.9531
-5.0049,-6.8359,-2.9297
-3.1128,-6.6528,-4.3945
-3.0518,-7.0801,-3.7231
-1.4648,-1.5259,-0.4883
0.0610,7.0801,0.5493
2.6855,2.8076,-0.2441
82.4585,389.5264,144.4702
77.4536,423.4619,216.3086
48.4619,368.1641,197.8149
27.8320,299.9268,178.0396
1.0986,214.2334,148.8037
-14.8315,94.7266,90.0879
-22.4609,40.1611,54.3823
-14.2822,16.6016,32.4707
-13.7939,-23.1934,3.2959
-13.3057,-11.9019,-0.5493
-4.2114,-13.1836,-4.7607
-5.1880,-18.3105,-8.5449
-2.9907,2.0142,-1.4038
-0.3662,-10.8643,-10.0098
-1.4038,-7.6294,-7.8125
5.9204,1.4648,-4.2725
-3.1128,-13.9160,-6.0425
8.5449,16.6016,0.7935
-0.6714,-5.1270,-1.6479
1.7090,-2.1362,-1.8921
0.6714,-3.1738,-2.9907
-2.6245,-5.4321,-4.2725
0.7935,2.6245,-1.6479
-3.0518,-3.4180,-1.7700
-4.3945,-18.9209,-6.8359
1.4038,-13.7939,-7.9346
-0.5493,-2.1973,-0.9155
-0.1221,-0.5493,-0.7324
-3.6011,-6.3477,-1.7090
2.3804,-10.3760,-5.3101
3.5400,-0.1831,-1.6479
0.4272,2.4414,1.0986
36.0107,292.9077,92.7124
55.6030,399.9023,156.4941
77.5146,496.3989,213.7451
55.1147,430.9082,235.1685
14.0381,283.1421,183.1055
-13.5498,87.5854,87.3413
-3.6621,33.5083,33.8745
-3.7842,-2.2583,10.2539
4.4556,-11.4136,-9.1553
-3.2959,2.5024,-7.5073
-2.1973,7.8125,-2.2583
3.2959,22.3389,0.6714
-4.1504,5.0049,-2.7466
3.2349,8.0566,-4.2725
2.2583,1.8311,-3.0518
0.9766,4.8828,-2.7466
0.9766,-4.0283,-1.9531
4.8828,-4.5776,-4.2725
-2.1973,-10.6201,-3.9673
-5.7373,-14.3433,-4.6387
1.9531,-11.7798,-6.8970
3.4790,0.0000,0.1221
1.4648,6.2866,-0.1831
-1.4038,-7.0190,-3.9062
-0.1831,-1.2817,-3.4790
2.1973,0.9766,-1.9531
-3.7231,-5.7983,-2.5024
-0.5493,-2.5024,-2.7466
4.0283,0.4883,-0.9155
-2.6245,-6.8970,-2.6855
1.2817,6.0425,1.2817
-0.9155,-1.5259,-1.2207
54.1382,307.0679,93.7500
76.5991,443.9087,149.2310
69.8853,433.1665,176.1475
53.2837,385.3149,182.5562
42.6636,341.0645,176.0864
4.7607,179.6875,124.4507
-2.1362,125.6714,95.9473
-5.3711,77.4536,72.8760
9.3994,62.5000,48.2788
-10.3149,28.8086,25.6348
5.0659,29.5410,13.0005
-5.1880,6.8359,0.2441
-7.0801,0.3052,-3.1738
2.6855,-1.4038,-4.5776
0.1221,-8.3008,-7.3242
0.7935,-7.1411,-7.7515
