gX,gY,gZ
233.4595,-208.8623,186.8286
70.0073,-155.2124,91.0034
71.7773,-131.2256,210.5103
45.8374,-109.2529,203.4302
0.2441,-76.4771,140.3809
-17.7002,-76.0498,136.3525
-65.4907,-60.4248,172.1191
-108.7036,-55.7861,167.8467
-147.2168,-55.4199,201.1719
-180.0537,-34.4849,241.3940
-169.3115,-16.2354,212.2192
-243.1641,-25.6958,194.5801
-263.6108,-1.6479,197.5098
-282.4707,-63.4766,104.7363
-327.8198,-176.9409,72.0825
-249.3896,-51.2695,53.3447
-274.6582,-172.1191,7.2632
-295.7764,-237.6709,-8.5449
-211.9751,-129.5776,-23.7427
-193.1763,-161.0718,-29.4800
-162.2925,-240.7227,-54.9316
-127.8687,-249.3286,-47.4854
-91.3086,-180.0537,-33.1421
6.1035,-78.1860,-51.8799
19.0430,-27.8320,-13.6108
-5.6763,-8.9111,14.8315
-11.9629,-23.1934,8.5449
-1.8921,2.3193,1.5259
-7.9956,-4.3945,-1.3428
-2.7466,1.2817,6.4087
258.7280,-263.6719,95.9473
159.1187,-212.0972,132.8125
138.3667,-184.4482,229.1870
117.9199,-170.9595,250.6104
74.6460,-141.6016,229.6753
66.5894,-127.9297,234.8022
50.4761,-119.1406,244.0186
19.6533,-109.5581,225.7080
-44.7388,-93.4448,246.2158
-118.1030,-69.9463,266.6626
-156.4941,-67.4438,220.7642
-148.3765,-58.5327,214.8437
-141.6626,-14.5874,223.4497
-156.1890,-15.5640,162.0483
-118.8965,-16.4795,133.0566
-176.3306,-32.2876,123.5352
-202.8809,6.7139,146.7896
-246.1548,-65.8569,103.5767
-311.2793,-174.3774,57.4341
-296.8750,-185.8521,38.5132
-300.9033,-325.6226,-29.8462
-293.3960,-327.6978,-43.5181
-215.3320,-266.8457,-24.0479
-152.0996,-242.0654,-23.1323
-89.1724,-145.2026,-7.4463
-58.0444,-103.9429,-6.2256
-30.7007,-88.9282,-13.0005
-20.9351,-73.1812,-6.9580
2.9907,-49.9878,-1.5259
24.0479,-36.0107,-6.6528
16.4185,-11.7798,-4.0283
21.1792,-7.6904,-3.4180
504.6997,-362.6709,-134.7046
427.8564,-386.7798,-26.4282
225.9521,-242.7979,58.2275
171.2646,-226.8066,66.3452
145.6299,-200.4395,129.2725
113.2813,-158.1421,185.5469
80.6274,-125.6714,198.5474
86.4868,-125.2441,249.8169
42.0532,-117.4316,219.3604
11.9629,-106.0791,202.0874
-4.7607,-104.3091,215.8813
-64.5752,-97.5952,208.0688
-97.2900,-85.5713,201.1108
-118.6523,-75.8667,202.9419
-132.4463,-59.7534,227.0508
-155.7007,-32.8369,235.0464
-169.4336,-3.3569,189.9414
-161.6821,-31.1890,131.0425
-197.2656,-4.0283,127.0752
-330.2002,-23.1323,102.4780
-388.1836,-102.1729,63.8428
-366.5161,-213.1958,28.8086
-336.3037,-231.9336,5.1270
-298.1567,-196.4722,7.4463
-201.5381,-128.8452,1.9531
-146.3013,-97.0459,-17.3340
-124.6948,-94.7876,-12.2681
-69.7021,-79.9561,-6.5918
-47.1802,-56.2134,-12.5122
-16.2964,-53.1616,-17.5781
-17.3340,-54.5654,-2.9907
-22.4609,-60.5469,-1.3428
308.1665,-331.4819,6.3477
291.9922,-289.5508,137.2681
217.9565,-230.8960,201.2329
86.6699,-158.3862,161.9263
86.2427,-152.7100,160.5835
84.5947,-143.5547,188.4155
45.2881,-122.4976,205.9326
38.6353,-118.5913,225.4639
-1.5259,-95.9473,230.0415
-1.1597,-95.5200,250.6714
-31.0059,-94.8486,293.0908
-84.3506,-78.9185,299.5605
-107.3608,-82.4585,233.7646
-184.5093,-34.7900,283.1421
-150.9399,5.6763,319.3359
-172.7295,-2.7466,274.8413
-295.7153,-20.8130,252.8076
-260.1929,24.5972,234.1919
-271.6064,-8.2397,190.4907
-327.0264,-231.3232,112.8540
-237.0605,-198.3643,126.6479
-234.0698,-194.8853,60.6079
-241.2720,-206.2988,83.6182
-176.5747,-178.8330,44.4946
-197.7539,-168.4570,19.4092
-169.1895,-153.8086,54.9927
-137.5122,-202.5146,53.8330
-90.8813,-193.2373,38.2080
-24.1699,-165.4663,-4.5776
12.5732,-145.8740,-40.1001
35.0342,-96.9238,-27.5269
58.1665,-68.8477,-18.1885
550.1099,-379.3945,-271.8506
262.6343,-441.3452,-313.4155
76.4771,-280.1514,-126.2817
190.0024,-286.4380,40.3442
184.8755,-235.9009,160.0952
217.9565,-183.8379,236.0229
178.5278,-149.2920,220.4590
107.3608,-119.6289,202.6367
82.8857,-98.1445,165.4053
53.3447,-95.0317,154.8462
40.5273,-93.9331,174.0723
20.8740,-90.8813,203.4302
17.0288,-86.7310,244.6899
-6.5308,-88.4399,252.1362
-71.2891,-73.6694,263.4888
-134.5825,-46.8750,257.5073
-156.7383,-20.8740,256.4087
-167.4805,21.2402,300.2319
-194.6411,48.0957,311.2183
-139.2212,44.8608,270.9961
-168.2129,18.2495,245.4224
-214.1724,30.2734,240.6616
-177.0020,-12.4512,196.3501
-204.2847,-123.0469,155.5176
-166.5649,-74.6460,115.5396
-200.8057,-153.0762,85.7544
-204.7729,-251.8311,69.8853
-183.8989,-285.2783,44.6167
-191.9556,-301.1475,13.9771
-190.6738,-325.1343,22.7051
-160.9497,-366.8823,48.0957
-101.9287,-324.7681,28.1982
